OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7398,2648,5289,585,8916,8571,9151,3596,7188,3982
+,4728,3330,6943,7383,7946,3164,7014,4399,1296,4673
+,3591,2207,7827,2529,1856,728,5268,4192,2301,6265
+,5634,7197,3835,9633,350,9500,3944,407,1938,5702
+,5556,2141,8987,5011,7643,9692,1605,2902,163,3814
+,3615,3247,4387,8283,7713,7155,2838,3540,3015,6505
-,7786,1653,6759,9399,11,1889,3210,4841,194,9557
+,4655,7347,9536,3992,9238,8720,7495,6118,539,1078
+,7184,8624,5475,2841,3236,1591,8428,4892,41,7034
+,5234,6915,1732,5833,822,9347,8559,4975,2539,5943
+,5758,1791,7287,6195,2096,3491,524,8393,7998,1801
+,6582,7673,9805,9615,6866,3596,3194,2988,8044,8075
+,5609,2104,4664,6072,7828,9611,8724,7950,5459,8013
+,2508,1832,7853,3468,8543,4433,6938,1123,9920,1093
+,2894,5835,8370,368,1933,6047,4108,9978,6503,4501
+,9822,4015,9297,6326,6075,2672,526,5080,1321,1926
+,4903,3729,9199,5690,172,5166,9254,3124,8959,6224
-,6100,952,3096,8568,8722,9180,7520,2716,5014,3999
+,6148,6124,1174,2115,1929,564,4020,8014,6012,5442
+,3110,1404,1628,8534,8292,9253,1703,5302,3271,3402
+,3662,2874,3937,1733,2537,5067,6482,671,8733,7028
+,5352,7205,3177,504,8684,1947,3796,9821,6575,1091
+,6440,3332,3983,6768,561,8387,4403,6422,1181,1594
+,4394,5293,5584,8636,1779,2647,7831,4873,3428,2048
+,90,8888,5976,5149,5252,9973,6131,7301,5692,6238
+,8920,3934,7542,1004,5168,7986,4421,2565,1840,612
+,6235,4946,5103,529,2203,1412,5857,1477,2453,2359
+,7247,4615,8171,7912,7836,6089,4566,7421,2310,9019
-,1516,3740,5467,5419,6090,3948,1241,2056,6243,5138
+,6942,886,1011,7576,3377,8661,1165,430,7681,5801
+,1388,3965,1355,3133,9825,1308,7523,29,8689,8850
+,7693,9007,8087,2153,2367,2233,5112,2893,123,9950
+,7736,2023,6913,6770,9641,9825,3592,1138,9280,6408
+,5853,7213,6805,8370,5394,9785,3617,1434,9523,8460
+,6763,8283,2469,2799,902,6713,4972,5426,8227,2840
+,9578,822,5363,2289,1915,3925,2077,478,3912,5011
+,8901,3862,614,6738,2334,9656,271,8541,9322,512
+,3829,2559,4583,5882,1784,9720,421,8389,679,770
+,4814,4550,6580,2911,1277,872,7738,6003,8502,6017
-,9085,2056,4011,2659,6305,1917,8280,2342,6457,3874
+,5834,701,8746,3693,7445,4268,7061,7408,2127,3599
+,4356,1441,2331,3785,4304,3215,5327,4756,6246,857
+,921,832,2438,7771,5257,6748,3103,4819,3175,9958
+,6675,1836,6983,5487,355,6434,2014,682,4098,1995
+,7707,2838,3289,1492,4282,913,3072,3272,3672,3314
+,2450,8139,5323,831,3432,7364,6392,8032,6188,4899
+,6901,7663,7613,1018,6190,3761,633,1965,1750,9231
+,5118,6116,533,2408,3452,3044,1564,2332,6066,1140
+,3074,2335,2743,5562,2303,7081,3651,709,8717,2365
+,7318,5230,6118,4904,6244,8195,4263,4551,2202,8131
-,4606,580,4533,4600,2722,4312,6754,5036,8040,4367
+,3005,4487,9350,3122,7708,6146,6067,9127,3395,4526
+,9721,6168,1501,8498,9551,8767,2591,4588,3928,3163
+,2953,8486,4227,2646,3921,9222,3650,6483,2954,8208
+,6155,2899,6360,6687,9412,4728,2498,355,546,1939
+,9416,3969,7140,8476,855,6689,2057,5885,8751,2022
+,5295,7243,5058,9377,7401,53,6063,4004,9689,8992
+,6772,7844,5662,6127,397,998,8868,5432,6593,9053
+,6182,399,377,6928,6493,9217,1641,5042,480,1930
+,5332,4111,5258,3150,3643,6664,5171,2177,3599,2233
+,2535,8409,5136,5698,4090,3897,2469,8218,137,4483
-,6351,389,2686,9971,1577,1628,5805,4302,7416,2216
+,1635,4927,8401,6620,3032,1364,3531,3075,5515,8052
+,5364,2423,4256,4942,4030,8049,828,7430,1777,8733
+,8569,5862,7080,390,6047,9743,983,3804,7052,6126
+,3797,3887,219,6672,3238,5418,3765,6414,7084,7546
+,2441,7373,5288,4333,447,163,4975,5160,1981,6898
+,9542,188,6952,2732,5513,3835,9002,857,2197,1871
+,7444,8627,247,892,7726,9383,9823,8413,133,8895
+,7737,3882,4626,5695,6161,7455,4343,3493,5262,2878
+,252,4195,6295,497,8262,5465,3852,7526,57,2560
+,7751,7892,7862,6615,1504,5773,6463,861,5378,2213
-,3145,9195,6369,9816,1737,3356,7725,4199,1393,293
+,1722,8783,5710,6325,16,2450,9292,4728,9395,3851
+,6360,8937,2868,6295,2249,5661,8740,4116,5383,8270
+,6085,4467,928,8779,3301,9162,5820,1589,9611,9347
+,8989,773,6732,6424,1307,1338,6180,8862,1883,7594
+,3924,1201,2049,5135,108,3550,4824,6436,6685,3068
+,7438,8464,1689,189,3958,6628,5791,1705,7532,7817
+,7136,6774,8142,6502,901,7700,2717,2857,3297,3243
+,1830,6499,4895,9654,4693,3485,1209,6557,8016,2299
+,2747,637,9589,2918,2004,5776,3961,3118,4920,3798
+,4663,130,4887,4493,1996,392,5119,8505,9886,3669
-,3196,8524,291,8467,2335,5062,5835,4668,7919,6068
+,5772,1962,190,3365,1598,7448,3255,7801,3129,5975
+,1186,5802,2184,5895,4160,2571,4423,2760,6738,920
+,3311,6470,6932,2142,5895,3857,5704,6474,1216,7827
+,7455,9273,8184,6598,5531,3282,2604,7472,4737,7121
+,1825,2130,2466,9669,4660,5591,9121,2726,3390,6535
+,5045,1544,7645,5971,7209,3036,1439,4212,5020,1367
+,8313,1235,2687,3061,6439,241,4917,2966,8675,4447
+,6880,5215,6293,9706,3273,1465,7841,1741,9104,3230
+,8444,8455,5938,7359,261,325,6524,2641,1505,6371
+,6194,3810,437,3166,5782,5619,9858,789,6377,7534
-,2599,8563,1124,7077,5324,9964,8970,1683,1086,8464
+,9939,3061,5383,5629,45,1293,6442,3604,75,7324
+,7500,8896,9934,8192,3474,2060,3581,1007,6861,3586
+,5902,1448,582,1776,4002,2482,7080,6865,7702,2779
+,1439,3930,2884,424,3927,5609,2008,1396,8942,4733
+,7669,698,4522,9504,8204,8447,7872,482,834,2287
+,4413,6293,5859,8573,7502,4455,2186,8513,6395,4889
+,759,9748,6915,2825,4821,2854,3925,4843,6195,7304
+,8436,3963,3304,2814,4979,7965,9590,3808,4015,2867
+,8763,9850,9692,6101,7627,750,3783,3449,8066,9483
+,8647,5296,5912,8366,7364,8325,7121,6502,9907,4974
-,4088,1762,9012,1666,9066,7825,7078,4096,1315,7376
+,6060,8824,5246,7421,4456,842,6735,6050,3836,1185
+,8735,7481,4193,1980,4517,8956,2185,7061,2437,4246
+,172,1467,1045,6586,4286,8559,434,6187,1683,2929
+,9044,1254,7524,5574,6396,2697,6154,7844,415,8799
+,9141,9709,9655,2027,6560,9985,8664,8724,8202,2451
+,4605,2088,6612,8699,5492,7076,4600,2497,3461,5423
+,4283,8216,8871,3045,8931,2667,7200,476,5940,4871
+,1261,6410,1181,7534,72,6208,3837,8350,9801,879
+,9149,7952,603,2376,4907,5997,3515,7757,7310,5852
+,4584,6761,6824,2477,1489,8198,2936,165,4777,4665
-,7710,7335,3096,196,7459,333,3635,5447,4388,9860
+,5198,278,9979,3760,1818,5664,8440,6234,1236,5326
+,9760,1722,5453,8414,1193,4027,5713,7959,1650,1862
+,6960,9884,31,7612,5141,6120,806,5864,7713,8111
+,896,2733,2101,2075,8655,1017,1669,720,8514,5957
+,1208,2214,9469,4460,1217,2106,2824,2032,832,4041
+,4792,6029,18,9474,94,7838,8312,5783,258,8764
+,5755,7618,1183,6153,5398,3419,9739,6076,8947,4589
+,9999,3468,5732,9205,5623,1532,3374,2208,8924,4081
+,277,3542,6486,2959,9899,3589,3519,9700,811,9331
+,1805,8767,3757,3286,9004,3201,5174,7311,6297,6344
-,7226,7534,236,7860,8155,4694,9856,633,3065,9016
+,1412,5483,2458,3988,8924,2149,8982,9705,2430,2153
+,5480,8599,5562,4084,2093,7178,3515,8148,4602,6010
+,4648,4425,8619,3249,3994,4157,1723,5286,3325,7645
+,2437,8632,2488,8834,390,2352,4842,4723,896,2482
+,3422,982,4309,748,110,7461,3423,9133,7898,9708
+,7567,2663,5272,7862,7815,1771,314,5576,3814,5310
+,9691,316,9259,3914,9351,4359,1501,1232,2624,5041
+,4025,6946,9302,5193,8484,8864,5457,7474,159,4968
+,1880,2892,4526,3962,2640,3653,2215,7241,6092,9914
+,9277,4159,9124,6674,7437,73,8486,9426,2559,2185
-,6309,4766,500,5171,9841,2369,389,6984,4274,8579
+,4403,2939,2988,9184,3956,8554,9376,4586,5384,281
+,4130,83,7039,7971,9773,4460,6711,9096,8095,9224
+,7050,150,6610,7179,7224,7223,920,5148,7168,1615
+,9875,8248,8149,6023,1706,1373,6059,9385,3361,5751
+,6862,8730,4890,1602,1226,7453,3655,5957,8769,3382
+,9115,7060,4261,9414,2151,85,8258,2167,4965,7507
+,6406,3607,2713,5094,6529,8269,4178,3611,1519,1060
+,8101,8381,6425,2177,6472,4609,8923,1784,9461,2357
+,9929,9683,631,2074,9218,5612,3417,8674,5070,548
+,5180,3641,6623,461,5244,6211,965,4876,7513,5517
-,1794,7796,4846,6075,9447,2336,9818,894,6814,3601
+,8258,5102,7695,2447,5095,1369,1531,8687,4350,2916
+,9994,102,8604,6724,2680,8858,9524,2101,4739,8950
+,342,8652,3797,4417,7296,7632,8955,6031,4582,2681
+,6759,5424,5828,2822,703,645,8158,9501,1237,4115
+,8425,1272,6826,1112,3314,9334,5380,8914,3603,6350
+,7055,5885,8801,639,4550,9977,2467,2924,3060,4352
+,6869,2134,1774,9925,2300,7468,510,6782,6074,6816
+,2870,3141,4985,228,7144,8872,824,7790,4877,9206
+,3164,745,8135,6028,735,7640,2415,7967,7172,1121
+,1085,7674,5435,7538,9992,6434,6267,1034,9077,7107
-,8187,7033,7678,9085,7255,176,5417,1863,8459,1720
+,1517,5970,8174,5840,7395,2290,5590,343,7452,9607
+,1799,8215,5786,6112,1697,8538,9409,2021,241,7399
+,4864,4295,5753,9904,3943,1227,2044,4937,2598,4253
+,2009,1954,9676,677,9152,1192,5517,5808,9269,52
+,7580,830,9100,5282,8636,5079,8303,5765,2316,3035
+,4144,5193,15,9016,1881,5999,5842,4032,7444,6472
+,9613,8625,8965,8180,1999,8215,6199,8578,1162,6733
+,9030,3620,3031,8415,8563,3924,7031,8465,6257,2082
+,6980,3182,9878,5928,5646,7403,6471,4078,2813,3497
+,3567,1314,8666,1692,6145,850,6264,6170,550,5843
-,7937,3455,2848,3765,844,685,4426,7198,5193,691
+,5581,6613,3001,2450,499,5829,6150,4788,3920,3640
+,884,219,6275,6451,3024,1677,4937,8722,6210,2439
+,5284,6776,4869,9908,4240,3949,7101,4212,6411,5869
+,2979,3833,5025,9104,3371,1126,8097,5656,4437,6277
+,3602,5394,6333,5445,8693,1230,6922,2338,8765,3787
+,3380,9590,5740,8256,4726,6096,8325,6224,5024,388
+,8409,6669,2976,8369,1163,3454,794,660,2879,5593
+,1373,2097,5129,5888,6758,6981,9428,6255,2812,8955
+,7540,1135,8470,5300,1421,2831,1341,7788,906,3415
+,879,3287,7860,2619,9505,3377,4577,1568,4482,1751
-,3545,4235,5306,8481,2799,7554,2985,5612,3926,784
+,7942,4243,8407,9383,3177,3593,8717,6940,9491,9463
+,5734,4771,3120,8466,6262,4010,4788,7518,9218,4152
+,2096,794,6171,7303,9217,8173,8397,7,7793,4730
+,6348,4604,8716,9875,1373,7715,5700,4644,7365,5062
+,4408,288,5582,452,3398,4262,16,5610,8218,2273
+,4149,7420,3836,3982,6816,8391,3759,9786,1465,4052
+,7812,2208,1677,692,5722,44,3888,3293,145,1270
+,7006,3626,1626,4227,98,9956,7906,8461,8419,6489
+,258,6003,3739,9355,7705,1730,6824,3650,2023,9560
+,3478,2301,1673,4192,472,5456,7258,1009,2714,2365
-,1046,6946,9913,1976,8816,2744,8284,3150,333,1989
+,5074,6964,229,8098,9007,6996,8697,3163,5773,7489
+,2046,7546,3561,961,7573,9467,2647,3978,2632,9635
+,865,7117,8337,7068,3221,9557,9704,8744,5494,5190
+,3335,9000,6674,9539,5070,1634,2232,4196,6541,6201
+,9540,1900,7990,4692,6446,4627,3382,3497,5110,3945
+,6480,390,4822,5012,7923,5398,4318,256,6733,8876
+,7569,8193,2551,1951,2939,5729,5136,174,137,2110
+,2666,9098,776,538,7554,2154,4355,8763,9807,7822
+,8513,8684,6877,7752,9930,6310,8912,2514,6283,6281
+,5437,4084,4786,5930,7904,8428,6131,3416,6945,7696
-,2702,2681,7159,5428,1418,8880,9657,5185,7443,7034
+,1546,9730,345,7055,6362,6443,4477,2,5026,9398
+,1387,7195,3745,463,6150,3542,7182,5816,1096,2588
+,2306,62,6823,9241,8796,9134,9276,5476,9008,4860
+,2797,2974,5424,2069,8630,1846,3917,7463,5511,5922
+,1433,6954,8083,8076,7296,3901,2971,2972,8619,8944
+,4306,2281,3447,1336,4744,5111,7985,9728,2610,8727
+,8951,4622,4929,3653,7815,4688,1401,9105,9653,741
+,7668,8747,3098,4410,5055,693,1850,6487,2165,7725
+,1246,5930,3320,4749,1318,7329,143,2437,3995,492
+,2286,4440,141,2687,774,8128,3182,3,7373,980
-,4147,2814,6705,5700,7017,295,8228,5995,3371,7742
+,8610,315,371,9235,1177,5816,1063,5069,7300,7871
+,8225,9319,5047,5764,907,8625,3972,8265,9847,2952
+,7340,2650,5528,6053,2839,4950,1300,4695,126,6544
+,3248,2715,4268,4678,8550,6154,2035,6470,1943,2732
+,9848,5611,9484,2676,9031,8034,4554,4720,8902,702
+,572,3560,9235,8181,7776,9464,3208,4247,2741,2594
+,648,1869,7039,2554,9438,4429,5874,182,9812,7209
+,2244,7337,1918,389,2956,4078,4654,1670,7331,262
+,173,1718,7864,6171,3011,3196,2646,4311,8513,3306
+,9887,693,4923,8702,6232,7878,3514,2601,5000,6373
-,7659,7764,887,6686,6380,4049,3370,1159,2469,4590
+,8627,3116,9769,2531,6751,1168,5994,7486,4171,85
+,6910,1455,6557,9669,9622,3230,9394,5011,1237,7769
+,7424,513,1956,3702,3276,3804,206,8456,4612,5860
+,8988,1760,517,2853,3360,7998,4698,6841,4283,5465
+,9401,3559,6385,8728,5920,4154,1337,9361,8556,9423
+,5625,5284,2963,1625,5356,8683,1135,8086,3521,7047
+,3177,8195,7131,7145,1726,4473,9928,1950,3882,8905
+,8050,2455,494,959,1086,6468,5078,1269,7264,6670
+,3228,1788,6527,7250,2878,510,3094,4266,5870,114
+,9450,7959,7256,2670,6298,4514,125,5829,6449,1502
-,9603,9504,2577,9915,1726,9032,6455,7810,2765,2900
+,4041,3505,5588,5623,140,2580,5258,7017,36,7619
+,4534,1629,3397,4638,8772,885,1522,9315,6687,9290
+,9907,2562,8969,2179,1302,5797,2903,3111,1391,1509
+,2834,5779,2587,2385,1245,2501,9763,2805,1847,4429
+,8707,2800,504,8167,1756,5350,2505,5577,2343,6905
+,9877,5852,857,5315,4764,8598,8096,1848,7376,2709
+,5908,3339,8330,8225,2249,8242,5247,363,5350,1708
+,2891,9608,4053,3251,1200,6053,6616,4456,2738,5483
+,6352,5563,9379,2737,8692,2712,9169,8709,4347,9101
+,2001,5167,1032,1762,822,9439,4760,4145,4617,1762
-,755,8320,7520,9151,1879,9252,5187,3051,8712,4912
+,415,568,3046,6772,7569,9981,789,6941,3290,2955
+,3099,993,3449,8281,2849,6299,4311,618,8473,4173
+,93,9381,6907,3462,4464,5830,5071,5631,1741,6599
+,8799,8227,3779,4208,2822,1322,478,4850,57,682
+,9394,9238,6680,3975,9351,7198,2849,7451,848,3903
+,2477,6943,4638,1084,1390,4635,3873,5053,4982,1751
+,7447,9266,5821,4188,3067,7500,1072,3867,7180,9388
+,4073,1190,9824,8146,3112,8018,5743,5544,1149,5475
+,4404,5528,6400,8025,198,9698,8256,7718,5624,4076
+,4168,2656,2040,1205,2064,2669,8300,4546,9029,79
-,7447,9266,5821,4188,3067,7500,1072,3867,7180,9388
+,4241,4056,1774,2669,4053,5512,5846,2111,8889,3048
+,3103,5418,8519,3103,9329,5364,935,1012,2018,6225
+,6605,6168,7060,6626,7671,3481,2585,7833,6762,2249
+,1234,1206,166,4062,2363,3525,4484,6228,1823,5420
+,5499,665,8073,2762,1249,9426,5413,5706,7702,9210
+,5397,5333,2780,2688,4976,6627,9955,5521,9643,5311
+,6323,5420,9910,1882,4899,4289,1789,2279,869,4364
+,1203,7625,8050,8660,913,8760,8134,346,4016,5799
+,6303,4321,5631,4389,189,9476,7157,8091,7682,9593
+,7185,851,2769,4547,6597,8661,4765,6353,6610,6291
-,864,1969,6241,2996,4626,3741,8374,8354,1892,7873
+,6065,2043,4158,3441,232,9786,2331,3280,503,8753
+,4660,3561,4912,7612,2379,5417,4876,5258,8533,6083
+,4124,584,6185,2548,5914,8189,4526,9622,4524,5364
+,504,21,9659,6636,7222,6717,7648,6392,9106,8765
+,6176,134,5640,2564,9390,6132,9259,8462,5571,6721
+,9391,8817,4792,4304,524,8104,5528,7591,4393,5446
+,6077,4929,7641,9187,9838,8276,6501,4088,3364,8595
+,7138,4798,6517,8487,2088,7759,6740,3459,7655,9122
+,5583,650,5570,3700,5036,9366,4802,9638,6931,8514
+,9202,2695,9338,658,8324,6007,3430,54,5809,5228
-,5133,3429,7369,4017,3418,3508,7085,1311,3844,3392
+,2686,7133,5931,1767,9782,8365,3153,455,2619,4268
+,8371,725,2670,3694,5822,8459,4548,9647,2758,5975
+,3086,72,3736,8441,3612,5415,9840,131,3605,9980
+,4109,3111,4952,6103,4470,3216,1667,6171,7005,4056
+,6660,5986,3671,2987,7702,8853,7166,3266,6556,1861
+,9104,8306,6633,7462,3059,7990,6811,740,9797,7551
+,6198,6083,6311,129,8903,6450,7683,9583,7453,919
+,2143,590,5900,8394,7311,2630,9102,3795,7120,8849
+,9695,8009,8335,2800,7677,7098,2398,3732,2078,2133
+,3419,9136,3090,7362,9298,1673,3372,7133,6453,6061
-,2619,817,7857,2304,3839,5043,2493,4787,297,4096
+,707,3964,2703,6359,6403,719,1872,1190,1245,483
+,8349,7914,1721,2664,1657,8490,1492,714,4546,7194
+,9976,8926,6886,9125,2865,6898,4539,8257,7283,6611
+,7433,2656,5378,4532,6764,1757,5030,3220,2788,82
+,7265,4600,5958,8735,5583,2614,7897,7835,5040,8613
+,6923,3294,5421,5938,9847,8131,6386,9563,765,4410
+,9126,6164,8504,3222,9623,8406,3795,7163,6752,7201
+,7620,5396,5596,7043,5808,8688,9076,4826,9754,9114
+,1719,4952,9453,9227,192,5657,879,9085,4243,1572
+,7312,4478,7880,6755,6766,3313,6179,9764,5824,7445
-,5599,2307,3241,2987,7063,7913,2893,3184,2594,3942
+,51,6431,3675,7924,983,6348,3709,46,33,9431
+,966,7697,5802,6872,1705,5263,9423,5622,7860,487
+,9773,2259,7119,4412,8961,6969,7008,7406,9016,2216
+,2466,2467,8840,1275,177,4801,8051,787,5948,5734
+,8326,6817,390,8830,757,3316,3443,3331,8945,6145
+,9371,3866,3347,871,2307,345,4597,1502,4439,1820
+,1935,391,596,3413,6135,4641,5922,6868,6197,8146
+,5860,5426,7830,2176,9608,1976,4012,9752,2020,6401
+,5800,3667,2576,7471,9367,6874,2367,622,4478,3060
+,9612,6934,3704,6092,4207,8018,7987,9822,4160,3738
-,8205,4595,5825,5587,9802,8126,7471,7587,2618,3753
+,4580,97,8567,4368,5272,5309,1931,3337,8898,7250
+,3399,3300,267,3285,8608,5161,544,5555,6817,1691
+,2290,8621,2456,1867,4007,1435,5599,5417,6173,5206
+,9029,8,386,849,1573,3077,1902,4352,6820,2432
+,4617,8960,8554,619,1067,4639,6999,5188,1418,8579
+,3024,8065,9843,3103,7369,4147,8024,1344,889,87
+,191,5593,8455,9536,6697,6800,9562,177,706,5874
+,3084,3323,1290,3892,4681,5273,3870,8215,1258,4669
+,795,8856,8717,8537,3582,1816,5561,7953,8491,5775
+,5433,963,9359,3394,9800,1425,9018,2020,816,8852
-,2136,9850,4878,7442,7288,3070,2145,5179,8030,1694
+,9847,8207,1086,9770,9205,8116,7774,4159,8255,613
+,4960,745,6264,4152,9381,7265,9143,2118,9899,5141
+,3917,6167,795,5887,1731,9854,909,7819,976,4562
+,9513,1429,515,1323,1563,8944,1341,2214,5744,3489
+,802,4821,1623,6976,4081,4497,4115,5034,245,6828
+,8430,3259,5288,5285,9751,218,748,1513,6378,6445
+,6049,983,1714,6390,1354,9551,5753,9859,919,1100
+,9283,3923,5355,696,8135,3669,8625,4036,2399,4005
+,5938,834,9454,9964,2441,7471,5807,4218,7289,8626
+,9651,1876,3122,9327,7634,1055,7367,9563,3854,9482
-,8662,1152,759,8111,2644,8531,2876,75,7853,1478
+,6753,9594,5561,702,6329,4178,6233,6572,7467,248
+,7771,3000,9166,6187,5911,3085,2426,4013,5885,3999
+,6311,5208,4847,8621,7063,2132,8827,898,6740,730
+,2852,8545,3846,914,8886,4677,9320,7678,5060,2352
+,7552,4453,7679,3092,1305,8122,3060,8207,9327,9009
+,1094,5352,8741,1356,20,3874,1240,6442,7666,222
+,2584,5489,7505,8282,3555,8754,9343,2017,5823,9905
+,1766,2528,9007,2508,8272,1842,3147,8678,3463,4505
+,3843,2904,1650,9662,9506,8197,4723,1234,4978,7389
+,6190,6808,7244,6512,7620,1776,2636,3224,4894,9930
-,8654,8067,5485,9855,9320,4938,4600,9946,9114,327
+,7712,2354,9471,8278,5487,8652,5944,5794,8190,2156
+,485,1971,9763,1893,6415,3446,4842,8604,1762,9858
+,3140,2780,8680,1081,6658,6302,8760,7220,6028,230
+,8517,165,2722,1043,9368,978,2495,4934,3847,348
+,6489,8219,97,5038,7411,4725,9768,9429,3351,1880
+,5731,2852,9598,9141,262,685,5043,8266,9266,6885
+,5578,8936,1336,9243,8787,9911,9370,4759,2209,1566
+,6519,6169,5703,2035,4367,8139,423,9700,280,6447
+,5341,5798,7388,1510,9896,1957,2998,3703,4808,25
+,6434,4683,375,1761,1598,1543,9054,4165,978,341
-,6960,9884,31,7612,5141,6120,806,5864,7713,8111
+,7069,1681,1076,5274,1824,5021,2706,8807,5998,8478
+,5911,9996,656,6930,7311,6794,400,7902,8039,4532
+,4867,5949,3185,644,4048,8050,6694,3847,8494,9127
+,9430,8695,4661,1094,8635,1952,9055,9553,2294,6113
+,5355,8159,4780,5667,3904,3086,7603,6071,7648,8782
+,388,396,8038,9848,9687,6135,1096,9694,9589,198
+,2872,5595,2436,7305,157,3082,5925,7558,5223,2934
+,1001,4651,3994,9963,8091,4338,7840,5311,8667,9689
+,9053,6498,8521,100,8470,82,7000,5026,1272,9928
+,279,3656,5224,1418,5215,5390,2188,7690,7178,8449
-,4574,3350,6856,3739,6027,5289,3085,2297,9391,716
+,7886,2932,8086,2708,5535,2642,5649,9974,4077,9685
+,6908,5333,1350,5487,2723,4545,7627,6903,4434,8257
+,5931,7837,1492,5276,3134,9114,7789,3465,2175,2983
+,213,3128,7337,5393,3915,9502,443,596,1104,9653
+,3784,2841,6326,4924,4815,4555,6214,3797,6671,9316
+,1748,4261,1399,947,3831,7222,2806,7482,1181,9464
+,4392,8105,4480,1232,9958,9850,9967,7805,8151,2892
+,8141,6486,2986,1405,2817,8522,5264,8991,1986,7528
+,1608,9023,6743,1250,354,4766,2260,9462,1012,8655
+,7129,8806,844,8661,7088,3842,880,8490,4972,1353
-,8461,4279,4346,6690,4738,3545,3121,5431,8899,1749
+,7217,712,4486,4480,3483,4802,9711,9122,1205,9178
+,5994,1383,2139,142,4297,863,8271,8611,7275,3339
+,2470,6885,331,630,4483,1924,4314,7855,5595,9581
+,5637,3123,8506,5306,7060,5754,3686,5850,312,5732
+,6005,3969,6665,6694,1516,8985,5033,7538,165,6475
+,7757,6543,3186,8654,8754,8256,4930,7084,5528,341
+,9674,4363,7462,6589,9368,6776,2433,4772,3211,1482
+,6920,1182,1704,552,7417,9492,4558,725,9566,3076
+,1662,116,9369,9810,2564,4129,1575,3908,8092,4630
+,442,6489,8014,7282,8229,5226,7840,7612,4944,7020
-,4594,2036,9488,9897,1113,7064,659,9840,5567,1061
+,4677,63,1951,3871,437,3686,5975,2644,6700,9347
+,6822,3407,4514,9913,4605,5866,6180,622,1553,6433
+,9618,3494,4006,5820,1852,360,2593,7662,8802,7643
+,2109,2864,835,1994,3891,1747,6383,9617,4321,5633
+,6882,6993,3907,4221,7625,2775,4071,7767,3234,9804
+,1800,5064,5850,2712,1756,3453,4669,4380,8983,9027
+,7358,1103,5056,5504,5540,8848,7893,1670,9147,1540
+,1132,7428,1454,4066,6726,2656,3944,6230,1558,2343
+,9536,8691,8534,9689,5017,6550,4398,3330,8431,8853
+,9533,5869,6862,5392,6092,4629,3239,5031,9523,554
-,8424,4803,456,543,4099,6332,2725,8597,4677,2432
+,9238,1587,5677,1868,8016,6788,4672,7373,6415,6794
+,2761,7554,444,4747,4954,9063,2011,8679,8872,1582
+,6624,9184,2396,7966,1658,3553,5416,621,1155,5325
+,4253,2371,2336,447,3246,9666,9662,9666,7404,3558
+,3927,3442,4208,1559,5058,3038,8893,4247,3823,2254
+,2517,1587,1274,5715,6598,3780,9303,4341,9228,7393
+,8708,9348,9599,432,4590,9202,4748,7899,8736,1883
+,8759,8132,6729,1230,3458,2138,458,8658,7431,2645
+,9145,5446,8685,54,6067,6050,6616,8475,9111,9656
+,7199,9553,2555,1821,2613,739,175,5975,6513,7231
-,6187,8592,2576,6882,3175,9767,3239,6774,3636,4815
+,2750,2130,2650,2858,7492,9573,4428,4359,42,8505
+,4695,933,3449,4025,704,7561,4285,4,2145,1372
+,5100,6148,665,8550,5690,1610,8706,6325,9207,4182
+,4671,7545,1226,8112,6017,6785,6086,1939,2518,4136
+,1206,3267,9,4000,1868,1459,7265,2211,5352,7606
+,4687,8212,6663,9604,9126,5178,7921,6202,7131,2646
+,5404,9651,2960,95,3882,4399,893,9127,8219,3120
+,8363,1729,3633,9538,4959,9555,2933,3885,2100,3431
+,1038,283,3655,2557,4947,6615,3882,7655,2407,3568
+,1638,2044,6094,3204,8076,3219,8725,2744,8428,4552
-,1514,1045,4564,9267,3492,4434,2956,7170,1802,5792
+,9928,9064,3550,9725,4563,9196,2542,2325,2811,637
+,8928,3679,4866,1731,4505,2075,7679,5537,6078,9110
+,9713,3104,70,9254,5036,9963,8988,8920,5376,6592
+,8744,5225,1194,1699,4688,2651,3357,6133,3050,2925
+,726,7646,7201,5887,7738,1141,246,5415,3929,8050
+,2302,846,413,2106,6137,3449,443,5805,2808,6873
+,8251,6926,4715,9316,4605,9122,2028,2289,1499,3584
+,3903,5108,9482,7965,3335,9020,9454,3580,7746,9738
+,5754,6867,3194,6389,5685,4641,2716,6457,2140,96
+,5328,8738,5019,5268,3785,7702,3480,6929,4383,2328
-,2604,61,2567,7727,6655,3969,8106,4292,4649,49
+,4642,1730,3992,2186,4974,8569,7306,1280,1195,1706
+,8100,5946,2273,5614,5641,321,3109,4772,4445,2622
+,8135,3743,1087,3295,6157,2167,7248,689,3070,3831
+,6084,9996,8408,1962,9272,4752,2561,2868,1395,7141
+,5204,6697,6741,689,1676,4217,1590,4486,8077,1156
+,1827,77,7776,2276,5428,7440,9809,4460,6083,2665
+,9014,4292,6827,2585,6562,5469,9330,1489,4030,7958
+,2522,8974,8230,3178,9065,1242,667,9407,8827,2400
+,9454,4930,6836,4762,6418,5985,1598,4009,6862,3889
+,4491,4175,8236,5095,919,1740,8287,8742,2899,8270
-,9970,6636,6452,850,3456,6447,913,4657,8199,3186
+,4100,2537,602,8044,8989,2135,2082,1773,5928,6110
+,1958,4731,2032,4398,7346,50,1687,449,4684,9961
+,5930,7692,9147,7445,6137,2554,5324,9937,6956,1748
